,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,N,N,N,N,N,N,N,N,N,0.44790759075247044,0.7475327480595418,0.6564677601228552,0.9429613371698853,0.7125949999994361,0.7406476951453058,0.6091512389628693,0.6413443721769891,0.4643045384432551,207001
1,X,N,N,O,N,N,N,N,N,-1.0,0.8345297261607568,0.8384466913745865,-1.0,0.8511966944351872,0.7867237534353776,0.8319274295225272,0.8075591681139305,0.8165604723627224,3662
2,X,X,N,O,N,N,N,N,O,-1.0,-1.0,1.0,-1.0,0.7477875233126541,0.7348197909650421,0.5875850289346491,0.6616495879111863,-1.0,303
3,N,N,N,N,O,N,N,X,N,0.7649876173032615,0.8255499848506824,0.7857851342094501,0.7818943561367465,-1.0,0.7875248650298456,0.8572277949970382,-1.0,0.7543337941603754,1688
4,X,N,N,O,O,N,N,X,N,-1.0,0.6651150190888981,0.6353243238990853,-1.0,-1.0,0.7864031599556595,0.0,-1.0,0.6304102761619176,314
5,X,O,N,O,O,N,N,X,X,-1.0,-1.0,0.22358936327223214,-1.0,-1.0,0.285,1.0,-1.0,-1.0,113
6,X,O,O,O,O,X,N,X,X,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,48
7,X,X,O,O,O,N,N,X,N,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,33
8,N,N,N,N,N,N,O,N,X,0.8034539147222719,0.8124682562900833,0.8080975728807999,0.8499797498172386,0.746004302006669,0.8657842295578579,-1.0,0.7599689604391521,-1.0,3109
9,O,N,N,X,N,N,O,N,X,-1.0,0.7980411246100607,0.7449326161567725,-1.0,0.6732866335541591,0.728522135180936,-1.0,0.6603721943271827,-1.0,226
10,O,N,N,X,N,O,O,X,X,-1.0,0.7696799494426734,0.5614570280712752,-1.0,0.3113814462849188,-1.0,-1.0,-1.0,-1.0,83
11,O,N,O,X,X,O,O,X,X,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,28
12,N,N,N,O,N,N,N,X,N,0.7779055035630613,0.8014403339182322,0.862364332918645,-1.0,0.7896942206196936,0.7041785373030262,0.7600578914604451,-1.0,0.7884157948193811,1716
13,X,X,O,O,O,X,N,X,O,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,414
14,N,O,X,N,N,N,N,N,N,0.789667688352185,-1.0,-1.0,0.8097884417801887,0.8006103720506517,0.75699966307147,0.7652262715179855,0.8061317226581475,0.7931384347620798,2963
15,N,O,X,N,N,N,O,X,N,0.7846948388110788,-1.0,-1.0,0.7131455554202693,0.6994593159965234,0.4047518666104176,-1.0,-1.0,0.4980304108489554,215
16,X,O,X,N,N,N,O,X,O,-1.0,-1.0,-1.0,0.6403838459195805,0.7588303160400878,0.49723356850230555,-1.0,-1.0,-1.0,223
17,X,O,X,N,O,X,O,X,O,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,555
18,N,N,N,N,O,N,N,N,X,0.769933383413427,0.7805635485149938,0.7965872367882502,0.79928023781538,-1.0,0.7944095899364321,0.8696352334956934,0.7886521804193951,-1.0,3033
19,X,N,N,N,O,O,N,N,X,-1.0,0.5380962345168604,0.4214917803959972,0.8176663574492465,-1.0,-1.0,0.0,0.0,-1.0,363
20,X,X,N,N,O,O,O,N,X,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,134
21,N,N,O,N,N,N,N,N,X,0.782723286549502,0.7616800639418417,-1.0,0.8263919316596857,0.8197340818836218,0.836842234133759,0.7974632231652412,0.8029765039478688,-1.0,3122
22,X,N,O,O,N,N,N,N,X,-1.0,0.7985495713895286,-1.0,-1.0,1.0,0.7973858430446401,0.5328207348571874,0.7878310708983116,-1.0,362
23,N,N,N,N,N,O,N,N,X,0.7854932314359955,0.8915583970345422,0.7978394276740877,0.8056605733873979,0.7954255060091817,-1.0,0.8310447332653168,0.8167414136914153,-1.0,3080
24,X,N,N,N,N,O,N,O,X,-1.0,0.7902134461694031,0.7447210383362547,0.6850090218910512,1.0,-1.0,0.7614357897081567,-1.0,-1.0,353
25,X,X,N,N,O,O,N,O,X,-1.0,-1.0,1.0,0.6961135356321098,-1.0,-1.0,0.0,-1.0,-1.0,268
26,X,O,N,N,O,N,N,N,X,-1.0,-1.0,0.24798191141553427,0.5357740208771365,-1.0,0.41457005389213375,0.683794898635594,0.8283772151686948,-1.0,427
27,X,O,X,O,O,N,N,N,X,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,50
28,O,X,N,X,O,N,O,N,X,-1.0,-1.0,0.7565123645657712,-1.0,-1.0,0.4463971064830806,-1.0,0.0,-1.0,243
29,O,X,X,X,O,N,O,O,X,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,610
30,N,N,N,N,X,O,O,N,X,1.0,0.7918305969499912,0.8206990437537297,0.7867221982237551,-1.0,-1.0,-1.0,0.8289461077175566,-1.0,561
31,N,N,N,X,O,N,O,N,X,0.3944916643218348,0.24501283122571765,0.8148101907868801,-1.0,-1.0,0.575953111340742,-1.0,0.5123849407250128,-1.0,167
32,X,O,N,N,N,O,N,N,X,-1.0,-1.0,0.754197126945886,0.8121542588847686,1.0,-1.0,0.7486964402137359,0.7590567375239925,-1.0,425
33,X,O,N,X,N,O,O,N,X,-1.0,-1.0,0.566286147624231,-1.0,1.0,-1.0,-1.0,0.4385005872602942,-1.0,150
34,X,O,X,X,O,O,O,N,X,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,326
35,X,N,N,O,N,O,N,N,X,-1.0,0.3973388464507748,0.0,-1.0,1.0,-1.0,0.0,0.41378988737329014,-1.0,382
36,N,O,N,N,N,N,N,N,X,0.811718790657216,-1.0,0.8559973191885845,0.7827415188568172,0.8224150740183365,0.7465689197892152,0.8210314810942769,0.7785597591542868,-1.0,3082
37,N,N,N,O,N,N,N,N,X,0.8391569327108483,0.7825389679925551,0.7860380637565003,-1.0,0.7825552546474882,0.7960685337354152,0.8345779746293538,0.8318787067250245,-1.0,3162
38,N,O,N,O,N,X,N,N,X,0.7979974663535546,-1.0,1.0,-1.0,0.6590053556112537,-1.0,0.5905027196788206,0.7112210292696269,-1.0,277
39,X,O,N,O,N,X,O,N,X,-1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,47
40,X,N,N,O,O,N,N,N,X,-1.0,0.5336282791004734,0.53486297377682,-1.0,-1.0,0.8290987838665166,0.2544131104101586,0.6461127748700439,-1.0,370
41,X,N,N,N,O,N,N,O,X,-1.0,0.8319857750990192,0.7182358065060275,0.0,-1.0,0.7376177287615526,0.0,-1.0,-1.0,399
42,X,N,O,N,N,O,N,N,X,-1.0,0.7771103469508736,-1.0,0.7670063034119954,1.0,-1.0,0.6964667377722978,0.474581517336524,-1.0,371
43,X,X,O,N,N,O,N,O,X,-1.0,-1.0,-1.0,0.7965162427793125,1.0,-1.0,0.6036548777354662,-1.0,-1.0,285
44,X,X,O,X,N,O,O,O,X,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,306
45,O,N,N,N,N,N,N,N,X,-1.0,0.8046197316526749,0.8212408531287639,0.7954233066052071,0.7821084821590365,0.7830795331683162,0.8033918747214608,0.7957374666822824,-1.0,3033
46,O,X,N,N,N,N,N,O,X,-1.0,-1.0,0.8318561300581814,0.6965393212785909,0.7662731301639117,0.5942255349439546,0.7075579290212215,-1.0,-1.0,284
47,O,X,X,O,N,N,N,O,X,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.5413842133908552,-1.0,0.0,130
48,O,X,X,O,X,O,N,O,X,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,293
49,X,N,N,N,N,O,O,N,X,-1.0,0.7937357399746112,0.730374168684514,0.7924254991964601,1.0,-1.0,-1.0,0.7194407521134363,-1.0,361
50,X,X,N,N,N,O,O,O,X,-1.0,-1.0,1.0,0.5002778332092879,1.0,-1.0,-1.0,-1.0,-1.0,173
51,N,N,O,N,N,N,N,X,N,0.8067106174791768,0.772283188074895,-1.0,0.8366046430364004,0.7997792561495631,0.7893130405863629,0.8030671044989006,-1.0,0.7810678314588668,1698
52,X,O,O,N,N,N,N,X,N,-1.0,-1.0,-1.0,0.8074504208607863,0.6098449485740254,0.5996426056554914,0.7685665533865649,-1.0,0.7247913692759818,342
53,X,O,O,X,N,N,N,X,O,-1.0,-1.0,-1.0,-1.0,0.0,0.7192860206186912,1.0,-1.0,-1.0,153
54,X,O,O,X,X,N,O,X,O,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,177
55,X,N,N,N,O,N,O,N,X,-1.0,0.0,0.8144074914637991,0.5181548556606456,-1.0,0.4132526194462186,-1.0,0.5369335788496636,-1.0,367
56,N,N,N,O,N,X,O,N,X,0.5322305423861723,0.4110042514971125,1.0,-1.0,0.5213430831126652,-1.0,-1.0,0.7018479455582827,-1.0,248
57,X,N,N,O,O,X,O,N,X,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.39789103661453507,-1.0,124
58,X,X,O,N,O,O,N,N,X,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,134
59,X,X,O,X,O,O,N,O,X,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,441
60,N,N,N,O,N,X,N,O,X,0.7494685346717893,0.7025099317393468,1.0,-1.0,0.63865004487436,-1.0,0.5218282342161398,-1.0,-1.0,234
61,X,N,N,O,N,X,O,O,X,-1.0,0.6065232166755697,1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,63
62,X,X,N,O,O,X,O,O,X,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,204
63,X,O,O,O,N,X,N,N,X,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.10288390360493488,0.6257049252597009,-1.0,108
64,N,X,N,N,N,N,O,N,N,0.8241437169087213,-1.0,0.7906399547632004,0.8209120162801722,0.8469560789954176,0.7733674361995562,-1.0,0.8288015068867222,0.8009181848470074,2580
65,X,X,N,O,N,N,O,N,N,-1.0,-1.0,1.0,-1.0,0.7470079457497145,0.6555963062677345,-1.0,0.7772925946713175,0.6163197381739449,324
66,N,N,N,O,N,X,N,N,N,0.7935545906278607,0.791500439087591,0.7827796654298753,-1.0,0.8446674725415183,-1.0,0.8032572421602768,0.8014271004750173,0.8183121641300062,1470
67,N,X,O,O,N,X,N,N,N,0.48261570261832665,-1.0,-1.0,-1.0,0.8091967192077208,-1.0,0.5881955574425185,0.37533796064093705,0.6258788507736621,226
68,X,X,O,O,N,X,N,N,O,-1.0,-1.0,-1.0,-1.0,0.7681761470573202,-1.0,0.5326259662477356,0.6508983339277239,-1.0,379
69,X,X,O,O,X,X,O,N,O,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,610
70,O,N,N,N,N,N,N,X,N,-1.0,0.7870009355578813,0.7789953062977623,0.810211013409952,0.8152142699294957,0.7782734280486655,0.7715777963577586,-1.0,0.7859157540275132,1735
71,O,X,N,O,N,N,N,X,N,-1.0,-1.0,0.5994754512566318,-1.0,1.0,0.629605032399918,0.5031942086711612,-1.0,0.2353622988178832,227
72,O,X,X,O,N,N,N,X,O,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,18
73,O,X,X,O,N,O,X,X,O,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,67
74,O,N,N,N,X,N,N,N,N,-1.0,0.8191283137475451,0.8152592037249261,0.8317860729582478,-1.0,0.8261861481936476,0.8342253322228134,0.8334683049238972,0.8819451674887486,6984
75,O,X,O,N,X,N,N,N,N,-1.0,-1.0,-1.0,0.805491882583612,-1.0,0.7482681971665224,0.8012668326858844,1.0,0.806907307067062,514
76,O,X,O,X,X,N,O,N,N,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.3201638792358119,112
77,X,O,N,N,N,N,N,N,N,-1.0,-1.0,0.7907847536227458,0.7885737240439306,0.7718108379752691,0.8093575887170712,0.8061543960130353,0.8273943662431572,0.851779184220905,3608
78,X,O,X,N,N,N,N,N,O,-1.0,-1.0,-1.0,0.8016164907748997,0.6753607916880261,0.761428402966249,0.5143965436494848,0.7851541355023374,-1.0,365
79,X,O,X,X,N,N,O,N,O,-1.0,-1.0,-1.0,-1.0,0.0,0.5749433097459383,-1.0,0.7548114663775115,-1.0,355
80,X,O,X,X,X,O,O,N,O,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,295
